"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","GET list of users","Mobile Chrome","Fri Jul 04 16:37:10 PKT 2025","passed","Fri Jul 04 16:37:10 PKT 2025","Reqres API Tests","web\api\user.api.spec.ts","",""
"","2966","[Smoke] Complete purchase flow","Mobile Chrome","Fri Jul 04 16:37:10 PKT 2025","passed","Fri Jul 04 16:37:13 PKT 2025","Sauce Demo Checkout Flow","web\web.spec.ts","",""
"","1754","POST create a new user","Mobile Chrome","Fri Jul 04 16:37:10 PKT 2025","passed","Fri Jul 04 16:37:12 PKT 2025","Reqres API Tests","web\api\user.api.spec.ts","",""
"","2216","Create a user and then update it","API Tests","Fri Jul 04 15:28:37 PKT 2025","passed","Fri Jul 04 15:28:39 PKT 2025","Reqres API Tests","web\api\user.api.spec.ts","",""
"","2585","Create a user and then update it","Mobile Chrome","Fri Jul 04 16:37:10 PKT 2025","passed","Fri Jul 04 16:37:13 PKT 2025","Reqres API Tests","web\api\user.api.spec.ts","",""
"","3506","🛒 Complete purchase on mobile","Mobile Chrome","Fri Jul 04 16:37:10 PKT 2025","passed","Fri Jul 04 16:37:13 PKT 2025","📱 Mobile Checkout Flow on SauceDemo","web\mobile\mobile.spec.ts","",""
"","3454","GET list of users","API Tests","Fri Jul 04 15:28:37 PKT 2025","passed","Fri Jul 04 15:28:40 PKT 2025","Reqres API Tests","web\api\user.api.spec.ts","",""
"","5467","[Smoke] Complete purchase flow","firefox","Fri Jul 04 16:50:19 PKT 2025","passed","Fri Jul 04 16:50:25 PKT 2025","Sauce Demo Checkout Flow","web\web.spec.ts","",""
"","3527","[Smoke] Complete purchase flow","chromium","Fri Jul 04 16:59:47 PKT 2025","passed","Fri Jul 04 16:59:50 PKT 2025","Sauce Demo Checkout Flow","web\user.web.spec.ts","",""
"","332","GET /users","API Tests","Fri Jul 04 14:29:40 PKT 2025","passed","Fri Jul 04 14:29:40 PKT 2025","","web\api\user.api.spec.ts","",""
"","1482","POST create a new user","API Tests","Fri Jul 04 15:28:37 PKT 2025","passed","Fri Jul 04 15:28:38 PKT 2025","Reqres API Tests","web\api\user.api.spec.ts","",""
"","3511","[Smoke] Complete purchase flow","chromium","Fri Jul 04 16:50:19 PKT 2025","passed","Fri Jul 04 16:50:23 PKT 2025","Sauce Demo Checkout Flow","web\web.spec.ts","",""
"","4813","[Smoke] Complete purchase flow","firefox","Fri Jul 04 16:59:47 PKT 2025","passed","Fri Jul 04 16:59:51 PKT 2025","Sauce Demo Checkout Flow","web\user.web.spec.ts","",""
