"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1510","[Smoke] Complete purchase flow","firefox","Mon Aug 17 11:45:33 UTC 2026","passed","Mon Aug 17 11:45:34 UTC 2026","Sauce Demo Checkout Flow","web/user.web.spec.ts","",""
"","192","POST create a new user","webkit","Mon Aug 17 11:45:37 UTC 2026","passed","Mon Aug 17 11:45:37 UTC 2026","Reqres API Tests","api/user.api.spec.ts","",""
"","293","GET list of users","webkit","Mon Aug 17 11:45:37 UTC 2026","passed","Mon Aug 17 11:45:37 UTC 2026","Reqres API Tests","api/user.api.spec.ts","",""
"","114","POST create a new user","API Tests","Mon Aug 17 11:47:11 UTC 2026","passed","Mon Aug 17 11:47:11 UTC 2026","Reqres API Tests","api/user.api.spec.ts","",""
"","311","Create a user and then update it","webkit","Mon Aug 17 11:45:37 UTC 2026","passed","Mon Aug 17 11:45:37 UTC 2026","Reqres API Tests","api/user.api.spec.ts","",""
"","1508","Complete purchase on mobile","webkit","Mon Aug 17 11:45:37 UTC 2026","passed","Mon Aug 17 11:45:39 UTC 2026","Mobile Checkout Flow on SauceDemo","mobile/user.mobile.spec.ts","",""
"","247","GET list of users","API Tests","Mon Aug 17 11:47:11 UTC 2026","passed","Mon Aug 17 11:47:11 UTC 2026","Reqres API Tests","api/user.api.spec.ts","",""
"","519","[Smoke] Complete purchase flow","chromium","Mon Aug 17 11:45:32 UTC 2026","passed","Mon Aug 17 11:45:33 UTC 2026","Sauce Demo Checkout Flow","web/user.web.spec.ts","",""
"","30018","[Smoke] Complete purchase flow","webkit","Mon Aug 17 11:46:40 UTC 2026","broken","Mon Aug 17 11:47:10 UTC 2026","Sauce Demo Checkout Flow","web/user.web.spec.ts","",""
"","880","Complete purchase on mobile","Mobile Chrome","Mon Aug 17 11:47:12 UTC 2026","passed","Mon Aug 17 11:47:13 UTC 2026","Mobile Checkout Flow on SauceDemo","mobile/user.mobile.spec.ts","",""
"","308","Create a user and then update it","API Tests","Mon Aug 17 11:47:11 UTC 2026","passed","Mon Aug 17 11:47:12 UTC 2026","Reqres API Tests","api/user.api.spec.ts","",""
